City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
146,Los Llanos De Aridane,28.6585,-17.9182,69.55,91,100,12.66,overcast clouds,ES,2022-07-23 02:44:19
147,Baruun-Urt,46.6806,113.2792,74.55,38,7,8.48,clear sky,MN,2022-07-23 02:44:20
148,Tiksi,71.6872,128.8694,46.76,82,97,5.95,overcast clouds,RU,2022-07-23 02:44:20
149,Kahului,20.8947,-156.47,87.82,45,40,24.16,scattered clouds,US,2022-07-23 02:44:20
150,Nortelandia,-14.4547,-56.8028,70.83,46,1,2.82,clear sky,BR,2022-07-23 02:44:21
151,Dubbo,-32.25,148.6167,62.73,55,62,17.27,broken clouds,AU,2022-07-23 02:44:21
152,Eydhafushi,5.1033,73.0708,82.17,77,99,16.62,overcast clouds,MV,2022-07-23 02:44:22
153,Carutapera,-1.195,-46.02,75.34,93,75,5.66,broken clouds,BR,2022-07-23 02:44:22
154,Duluth,46.7833,-92.1066,78.28,62,0,6.91,haze,US,2022-07-23 02:42:32
155,Upernavik,72.7868,-56.1549,42.37,95,100,10.89,overcast clouds,GL,2022-07-23 02:44:23
156,Kloulklubed,7.0419,134.2556,81.1,77,100,9.86,overcast clouds,PW,2022-07-23 02:44:23
157,Ghanzi,-21.5667,21.7833,53.85,66,9,8.66,clear sky,BW,2022-07-23 02:44:24
158,Codrington,-38.2667,141.9667,53.31,93,100,13.0,light rain,AU,2022-07-23 02:44:24
159,Tuatapere,-46.1333,167.6833,47.44,70,19,2.95,few clouds,NZ,2022-07-23 02:44:25
160,Esperance,-33.8667,121.9,63.23,57,4,21.39,clear sky,AU,2022-07-23 02:44:25
161,Brae,60.3964,-1.353,51.37,78,100,7.47,overcast clouds,GB,2022-07-23 02:44:25
162,Ust-Nera,64.5667,143.2,66.74,80,100,4.5,light rain,RU,2022-07-23 02:44:26
163,Shakawe,-18.3667,21.85,53.15,64,1,4.81,clear sky,BW,2022-07-23 02:44:26
164,Natal,-5.795,-35.2094,75.42,88,0,8.05,clear sky,BR,2022-07-23 02:40:03
165,Noumea,-22.2763,166.4572,75.99,99,100,3.04,heavy intensity rain,NC,2022-07-23 02:44:27
166,Goderich,43.7501,-81.7165,77.32,57,23,10.36,few clouds,CA,2022-07-23 02:42:28
167,Terrak,65.087,12.3715,51.67,90,38,3.71,scattered clouds,NO,2022-07-23 02:44:27
168,Sitka,57.0531,-135.33,53.49,87,100,5.75,moderate rain,US,2022-07-23 02:44:28
169,Yairipok,24.6667,94.0667,78.66,96,100,1.74,light rain,IN,2022-07-23 02:44:28
170,Thinadhoo,0.5333,72.9333,81.37,74,100,8.28,overcast clouds,MV,2022-07-23 02:44:29
171,Rincon,32.296,-81.2354,84.16,61,100,9.22,thunderstorm,US,2022-07-23 02:44:29
172,Grafton,42.207,-71.6856,79.83,70,0,10.36,clear sky,US,2022-07-23 02:44:30
173,Valday,57.9747,33.2525,60.69,77,56,3.87,broken clouds,RU,2022-07-23 02:44:30
174,Cidreira,-30.1811,-50.2056,63.81,94,99,3.94,moderate rain,BR,2022-07-23 02:44:30
175,Pevek,69.7008,170.3133,33.76,92,91,6.08,overcast clouds,RU,2022-07-23 02:44:31
176,Beroroha,-21.6667,45.1667,59.36,81,0,2.53,clear sky,MG,2022-07-23 02:44:31
177,Ribeira Grande,38.5167,-28.7,72.95,90,51,7.52,light rain,PT,2022-07-23 02:44:32
178,Znamenka,52.4167,41.4311,58.8,95,64,9.15,broken clouds,RU,2022-07-23 02:44:32
179,Mago,53.2514,140.1822,78.01,31,91,4.56,overcast clouds,RU,2022-07-23 02:44:32
180,Sao Filipe,14.8961,-24.4956,74.53,83,56,1.23,broken clouds,CV,2022-07-23 02:44:33
181,Gedo,9.0167,37.45,49.32,98,91,1.54,overcast clouds,ET,2022-07-23 02:44:33
182,Yellowknife,62.456,-114.3525,66.72,52,20,11.5,few clouds,CA,2022-07-23 02:44:34
183,Port Alfred,-33.5906,26.891,60.42,76,100,10.4,overcast clouds,ZA,2022-07-23 02:45:34
184,Abu Kamal,34.4506,40.9171,81.7,34,0,12.01,clear sky,SY,2022-07-23 02:45:34
185,Dzilam Gonzalez,21.2833,-88.9333,79.75,78,47,6.24,scattered clouds,MX,2022-07-23 02:45:35
186,Iqaluit,63.7506,-68.5145,46.13,87,75,3.44,broken clouds,CA,2022-07-23 02:45:35
187,Lavrentiya,65.5833,-171.0,47.28,73,94,15.43,overcast clouds,RU,2022-07-23 02:45:36
188,Porto Torres,40.835,8.3972,69.98,67,0,1.3,clear sky,IT,2022-07-23 02:45:36
189,Chuy,-33.6971,-53.4616,56.39,96,100,4.92,overcast clouds,UY,2022-07-23 02:45:36
190,Hithadhoo,-0.6,73.0833,82.27,72,100,5.35,overcast clouds,MV,2022-07-23 02:45:37
191,Zhigalovo,54.8097,105.1578,65.93,79,100,2.48,overcast clouds,RU,2022-07-23 02:45:37
192,Rawson,-43.3002,-65.1023,38.16,74,100,14.36,light rain,AR,2022-07-23 02:45:38
193,Loa Janan,-0.583,117.095,78.71,86,100,3.31,overcast clouds,ID,2022-07-23 02:45:38
194,Rabupura,28.25,77.6,86.54,68,100,14.23,overcast clouds,IN,2022-07-23 02:45:39
195,Jinchang,38.4953,102.1739,82.9,16,0,5.12,clear sky,CN,2022-07-23 02:45:39
196,Shambu,9.5667,37.1,49.3,95,63,0.27,light rain,ET,2022-07-23 02:45:40
197,Santa Rosa,14.3122,121.1114,90.1,77,71,5.59,light rain,PH,2022-07-23 02:45:40
198,Dicabisagan,17.0818,122.4157,89.02,62,61,4.65,broken clouds,PH,2022-07-23 02:45:41
199,Saint George,37.1041,-113.5841,104.59,15,0,13.8,clear sky,US,2022-07-23 02:41:02
200,Acarau,-2.8856,-40.12,78.91,80,33,17.13,scattered clouds,BR,2022-07-23 02:45:41
201,Korla,41.7597,86.1469,91.24,15,0,5.73,clear sky,CN,2022-07-23 02:45:42
202,Kununurra,-15.7667,128.7333,82.38,16,6,9.22,clear sky,AU,2022-07-23 02:45:42
